"","Job.Family","Department.Code","Salaries","Year","Overtime","Union","Total.Benefits","Retirement","Total.Compensation"
"2868","Nursing","DPH",77625.83,2018,1425.93,"SEIU, Local 1021, RN",6616.43,0,91862.23
"2869","Nursing","DPH",106406.67,2018,0,"SEIU, Local 1021, RN",12129.06,7536.98,120663.32
"2870","Med Therapy & Auxiliary","DPH",57113.31,2018,20055.95,"SEIU, Local 1021, Misc",33340.87,12371.44,112982.75
"2871","Human Services","DPH",26585.76,2018,0,"SEIU, Local 1021, Misc",7252.5,5082.01,33838.26
"2872","Clerical, Secretarial & Steno","DPH",26157,2018,0,"SEIU, Local 1021, Misc",9042.44,0,35199.44
"2873","Medical & Dental","DPH",23927,2018,0,"SEIU, Local 1021, Misc",7266.57,0,31775.92
"2874","Lab, Pharmacy & Med Techs","DPH",58063.29,2018,758.4,"SEIU, Local 1021, Misc",32898.73,13431.01,93446.14
"2875","Management","DPH",105973.52,2018,0,"Municipal Exec Assoc, Misc",39739.06,20558.4,146890.18
"2876","Housekeeping & Laundry","DPH",51112.5,2018,2004.01,"SEIU, Local 1021, Misc",29827.83,11200.15,85609.71
"2877","Nursing","DPH",170454.02,2018,8501.03,"SEIU, Local 1021, RN",58726.9,31852.88,237931.95
"2878","Health & Sanitation Inspection","DPH",67330,2018,0,"SEIU, Local 1021, Misc",32971.91,12915.88,100301.91
"2879","Public Health","DPH",130877.98,2018,0,"SEIU, Local 1021, RN",53472.18,24472.7,184600.16
"2880","Nursing","DPH",83428.81,2018,956.35,"SEIU, Local 1021, RN",7198.31,0,99940.94
"2881","Med Therapy & Auxiliary","DPH",44604.29,2018,81.9,"SEIU, Local 1021, Misc",18594.6,3418.22,64165.16
"2882","Med Therapy & Auxiliary","DPH",36318.99,2018,0,"Prof & Tech Eng, Local 21",7517.26,0,43836.25
"2883","Nursing","DPH",44605.95,2018,4549.66,"SEIU, Local 1021, Misc",27449.14,10726.84,79817.09
"2884","Information Systems","DPH",116340.5,2018,0,"Prof & Tech Eng, Local 21",44175.15,21745.87,160515.65
"2885","Housekeeping & Laundry","DPH",195.2,2018,0,"SEIU, Local 1021, Misc",65.26,48.59,279.98
"2886","Clerical, Secretarial & Steno","DPH",52927.3,2018,285.62,"SEIU, Local 1021, Misc",30897.16,12011.66,84630.08
"2887","Nursing","DPH",126512.5,2018,7170.49,"SEIU, Local 1021, RN",53985.66,26792.96,209094.28
"2888","Nursing","DPH",76438.24,2018,2468.79,"SEIU, Local 1021, RN",28492.55,10901.21,110764.53
"2889","Management","DPH",90096.01,2018,0,"Municipal Exec Assoc, Misc",40300.7,17276.24,130396.71
"2890","Dietary & Food","DPH",18904.11,2018,0,"SEIU, Local 1021, Misc",1467.26,0,20371.37
"2891","Med Therapy & Auxiliary","DPH",26516.88,2018,0,"Prof & Tech Eng, Local 21",10627.09,5067.37,37143.97
"2892","Journeyman Trade","DPH",33075,2018,1495.26,"Stationary Engineers, Local 39",3283.06,0,37853.32
"2893","Nursing","DPH",50553.4,2018,4084.74,"SEIU, Local 1021, Misc",31071.24,12217.66,89322.63
"2894","Nursing","DPH",46753.91,2018,3629.51,"SEIU, Local 1021, Misc",28649.27,11141.22,81893.56
"2895","Nursing","DPH",9431.4,2018,0,"SEIU, Local 1021, Misc",733.65,0,10185.92
"2896","Hospital Administration","DPH",48499.48,2018,0,"SEIU, Local 1021, Misc",20000.88,3959.02,68500.36
"2897","Med Therapy & Auxiliary","DPH",45930.63,2018,0,"SEIU, Local 1021, Misc",25896.03,10354.78,71826.66
"2898","Med Therapy & Auxiliary","DPH",32263.11,2018,0,"SEIU, Local 1021, Misc",10065.77,7298.07,43853.15
"2899","Nursing","DPH",39449.4,2018,0,"SEIU, Local 1021, RN",8835.59,6345.78,54859.94
"2900","Medical & Dental","DPH",129603.9,2018,0,"Physician/Dentists 8-CC, UAPD",49891.26,24260.57,186087.98
"2901","Lab, Pharmacy & Med Techs","DPH",52201.24,2018,2019.97,"SEIU, Local 1021, Misc",26882.73,10154,82113.94
"2902","Nursing","DPH",45256.39,2018,1736.13,"SEIU, Local 1021, Misc",27330.31,11053.99,78302.34
"2903","Public Service Aide","DPH",49954,2018,0,"SEIU, Local 1021, Misc",29914.12,11269.48,79868.12
"2904","Nursing","DPH",52397.61,2018,1843.07,"SEIU, Local 1021, Misc",16334.55,11869.85,70794.47
"2905","Med Therapy & Auxiliary","DPH",51782.94,2018,0,"Prof & Tech Eng, Local 21",11781.91,724.46,63564.85
"2906","Public Service Aide","DPH",43829.7,2018,33.99,"SEIU, Local 1021, Misc",27251.06,9889.06,71114.75
"2907","Lab, Pharmacy & Med Techs","DPH",54911.85,2018,2475.7,"SEIU, Local 1021, Misc",30340.24,12471.11,92557.32
"2908","Nursing","DPH",163687.14,2018,5855.6,"SEIU, Local 1021, RN",11260.85,0,207039.6
"2909","Nursing","DPH",70387.5,2018,2694.79,"SEIU, Local 1021, Misc",35221.65,14478.41,113386.62
"2910","Nursing","DPH",164593.13,2018,1102.95,"SEIU, Local 1021, RN",10753.77,0,176449.85
"2911","Lab, Pharmacy & Med Techs","DPH",57776.91,2018,264.1,"SEIU, Local 1021, Misc",32446.43,13318.03,91997.44
"2912","Nursing","DPH",86241.39,2018,18101.84,"SEIU, Local 1021, RN",36938.2,15642.26,148631.8
"2913","Nursing","DPH",88860.88,2018,7425.24,"SEIU, Local 1021, RN",27471.58,17955.34,131025.7
"2914","Human Services","DPH",63889.71,2018,19659.14,"SEIU, Local 1021, Misc",35897.07,14265.09,123677.85
"2915","Nursing","DPH",43130.69,2018,2491.79,"SEIU, Local 1021, RN",9069.59,5591.9,57887.88
"2916","Dietary & Food","DPH",22966.15,2018,18719.12,"SEIU, Local 1021, Misc",16091.89,5387.41,58692.12
"2917","Nursing","DPH",145161.85,2018,8363.85,"SEIU, Local 1021, RN",58886.08,29417.14,224808.19
"2918","Public Service Aide","DPH",15357.39,2018,0,"SEIU, Local 1021, Misc",10196.4,3475.36,27126.67
"2919","Nursing","DPH",39817.39,2018,0,"SEIU, Local 1021, RN",3575.7,0,49644.79
"2920","Dietary & Food","DPH",15011.36,2018,2510.63,"SEIU, Local 1021, Misc",5036.08,3504.99,23071.43
"2921","Hospital Administration","DPH",81914.1,2018,0,"Prof & Tech Eng, Local 21",31946.89,10991.72,113905.95
"2922","Dietary & Food","DPH",47127.6,2018,0,"SEIU, Local 1021, Misc",21668.48,9030.58,69035.81
"2923","Nursing","DPH",76412.23,2018,2823.27,"SEIU, Local 1021, RN",32916.94,15012.94,116911.37
"2924","Purchasing & Storekeeping","DPH",56678.83,2018,1952.87,"SEIU, Local 1021, Misc",31841.18,12786.51,90472.88
"2925","Nursing","DPH",9396,2018,0,"SEIU, Local 1021, RN",2048.89,145.5,13147.92
"2926","Public Health","DPH",135715.15,2018,0,"SEIU, Local 1021, RN",54422.19,25377.16,190387.34
"2927","Nursing","DPH",34936.88,2018,1852.24,"SEIU, Local 1021, Misc",20636.06,7871.17,57675.18
"2928","Med Therapy & Auxiliary","DPH",41762.59,2018,1840.83,"SEIU, Local 1021, Misc",23354.81,9535.57,67518.23
"2929","Nursing","DPH",98665.9,2018,4427.18,"SEIU, Local 1021, RN",39800.95,18733.98,144655.85
"2930","Human Services","DPH",56982,2018,0,"SEIU, Local 1021, Misc",24792.54,10941.13,81934.54
"2931","Nursing","DPH",132481.51,2018,8952.39,"SEIU, Local 1021, RN",53352.05,25519.9,232954.47
"2932","Human Services","DPH",82170.29,2018,0,"SEIU, Local 1021, Misc",35804.2,15759.31,117974.49
"2933","Payroll, Billing & Accounting","DPH",64981.25,2018,0,"SEIU, Local 1021, Misc",30634.72,12465.37,95615.97
"2934","Nursing","DPH",81957.43,2018,2955.92,"SEIU, Local 1021, RN",6827.32,0,94790.07
"2935","Human Services","DPH",32170.48,2018,0,"SEIU, Local 1021, Misc",2496.94,0,34667.42
"2936","Med Therapy & Auxiliary","DPH",55995.1,2018,0,"SEIU, Local 1021, Misc",31667.75,12631.78,87662.85
"2937","Public Service Aide","DPH",18656,2018,0,"SEIU, Local 1021, Misc",1737.72,238.97,20393.72
"2938","Dietary & Food","DPH",15437.9,2018,2313.18,"SEIU, Local 1021, Misc",10224.01,3722.97,29062.24
"2939","Nursing","DPH",117124.74,2018,9375.97,"SEIU, Local 1021, RN",47627.06,22795.15,186032.42
"2940","Purchasing & Storekeeping","DPH",45369.01,2018,7637.67,"SEIU, Local 1021, Misc",29078.14,11101.96,85910.54
"2941","Public Service Aide","DPH",8526.89,2018,0,"SEIU, Local 1021, Misc",3500.57,0,12027.46
"2942","Nursing","DPH",220190,2018,234.93,"SEIU, Local 1021, RN",71657.8,41174.76,292332.73
"2943","Dietary & Food","DPH",3796.93,2018,666.28,"SEIU, Local 1021, Misc",1299.62,907.47,5975.9
"2944","Nursing","DPH",120221.28,2018,9644.89,"SEIU, Local 1021, RN",10428.25,0,156812.36
"2945","Human Services","DPH",61036,2018,0,"SEIU, Local 1021, Misc",27065.72,11810.94,90443.24
"2946","Nursing","DPH",46994.59,2018,4182.58,"SEIU, Local 1021, RN",10276.41,6593.57,69024.91
"2947","Nursing","DPH",52120.11,2018,649.94,"SEIU, Local 1021, Misc",31601.29,12520.87,87754.83
"2948","Lab, Pharmacy & Med Techs","DPH",51377.66,2018,216.7,"SEIU, Local 1021, Misc",28800.45,11590.44,80644.81
"2949","Nursing","DPH",36977.21,2018,0,"SEIU, Local 1021, RN",2870.02,0,39847.23
"2950","Professional Engineering","DPW",149836.58,2018,0,"Prof & Tech Eng, Local 21",53273.99,28018.94,203110.57
"2951","Semi-Skilled & General Labor","DPW",50316.32,2018,1158.98,"Laborers, Local 261",29347.7,11530.48,81626.49
"2952","Computer Operatns & Repro Svcs","DPW",32650.51,2018,2851.01,"SEIU, Local 1021, Misc",8842.5,5864.42,45565.13
"2953","Professional Engineering","DPW",52455.3,2018,0,"Prof & Tech Eng, Local 21",21833.31,10075.16,74288.61
"2954","Nursing","DPH",5536,2018,0,"SEIU, Local 1021, RN",1460.49,1030.8,6996.49
"2955","Human Services","DPH",2345.19,2018,0,"SEIU, Local 1021, Misc",182.03,0,2527.22
"2956","Nursing","DPH",6039,2018,0,"SEIU, Local 1021, RN",546.84,0,7592.34
"2957","Journeyman Trade","DPW",90650.01,2018,15943.95,"Teamsters, Local 853",43876.36,19288.84,160364.76
"2958","Journeyman Trade","DPW",97248.09,2018,151.35,"Stationary Engineers, Local 39",43111.96,18658.01,153945.71
"2959","Journeyman Trade","DPW",125372.45,2018,3912.19,"Plumbers, Local 38",52247.81,24155.97,185338.25
"2960","Semi-Skilled & General Labor","DPW",8405.36,2018,0,"Laborers, Local 261",4160.12,1660.65,12786.91
"2961","Payroll, Billing & Accounting","DPW",125632.02,2018,0,"Prof & Tech Eng, Local 21",48119.76,23492.84,173751.78
"2962","Public Service Aide","DPW",21717.2,2018,0,"Laborers, Local 261",12805.95,1663.55,36325.14
"2963","Supervisory-Labor & Trade","DPW",66218.42,2018,2154.43,"Laborers, Local 261",31777.68,13171.39,102568.65
"2964","Clerical, Secretarial & Steno","DPW",59836.27,2018,930.75,"SEIU, Local 1021, Misc",32730.54,13498.84,93497.56
"2965","Journeyman Trade","DPW",53834.8,2018,2936.37,"Teamsters, Local 853",24300.14,10463.59,81878.82
"2966","Clerical, Secretarial & Steno","DPW",36246.01,2018,0,"SEIU, Local 1021, Misc",18286.63,7042,59641.28
"2967","Agriculture & Horticulture","DPW",10113.01,2018,0,"Laborers, Local 261",4375.46,1953.25,14779.64
"2968","Construction Inspection","DPW",112322.15,2018,0,"Prof & Tech Eng, Local 21",44994.55,21548.24,157316.7
"2969","Budget, Admn & Stats Analysis","DPW",87609.82,2018,0,"SEIU, Local 1021, Misc",37408.21,16807.6,125018.03
"2970","Professional Engineering","DPW",63569.7,2018,0,"Prof & Tech Eng, Local 21",4934.03,0,68503.73
"2971","Professional Engineering","DPW",228488,2018,0,"Prof & Tech Eng, Local 21",70582.71,43833.94,300045.86
"2972","Professional Engineering","DPW",165918.07,2018,0,"Prof & Tech Eng, Local 21",56662.52,31022.26,222580.59
"2973","Semi-Skilled & General Labor","DPW",70640,2018,0,"Laborers, Local 261",33506.51,13922.67,106079.31
"2974","Professional Engineering","DPW",88674.77,2018,0,"Prof & Tech Eng, Local 21",38529.6,17009.19,127204.37
"2975","Semi-Skilled & General Labor","DPW",56588.87,2018,5343.91,"Laborers, Local 261",27244.55,11228.57,91120.65
"2976","Management","DPW",111428.26,2018,0,"Municipal Exec Assoc, Misc",40960.86,20915.09,193339.55
"2977","Public Service Aide","DPW",44693.46,2018,1287.16,"SEIU, Local 1021, Misc",28011.84,10083.79,73992.46
"2978","Journeyman Trade","DPW",112088.04,2018,637.8,"Sheet Metal Workers, Local 104",49216.66,21761.39,163288.5
"2979","Public Safety Inspection","DPW",106993.81,2018,3839.87,"Prof & Tech Eng, Local 21",43561.1,20525.82,157642.84
"2980","Information Systems","DPW",170626.01,2018,0,"Prof & Tech Eng, Local 21",57603.24,31906.52,228229.25
"2981","Professional Engineering","DPW",129398.03,2018,0,"Prof & Tech Eng, Local 21",48913.17,24197.04,178311.2
"2982","Professional Engineering","DPW",124132.02,2018,0,"Prof & Tech Eng, Local 21",47712.86,23528.49,171844.88
"2983","Journeyman Trade","DPW",48346.03,2018,0,"Glaziers, Local 718",22083.8,9612.29,72017.83
"2984","Budget, Admn & Stats Analysis","DPW",75246.02,2018,0,"SEIU, Local 1021, Misc",35043.17,14432.5,110289.19
"2985","Human Services","DPW",100917.1,2018,0,"SEIU, Local 1021, Misc",42139.9,19360.29,143057
"2986","Information Systems","DPW",143720.01,2018,0,"Prof & Tech Eng, Local 21",52184.28,26875.16,195904.29
"2987","Semi-Skilled & General Labor","DPW",66788.01,2018,180.38,"Laborers, Local 261",32486.35,13711.74,104141.74
"2988","Semi-Skilled & General Labor","DPW",69769.5,2018,11006.87,"Laborers, Local 261",35711.54,15121.78,125535.76
"2989","Budget, Admn & Stats Analysis","DPW",87440.34,2018,0,"SEIU, Local 1021, Misc",38228.53,16774.61,125668.87
"2990","Supervisory-Labor & Trade","DPW",101376.03,2018,12512.84,"Laborers, Local 261",43928.58,20537.58,163496.44
"2991","Professional Engineering","DPW",97299.86,2018,0,"Prof & Tech Eng, Local 21",41146.44,18822.15,139262.57
"2992","Professional Engineering","DPW",96947.38,2018,0,"Prof & Tech Eng, Local 21",40621.21,18598.05,137568.59
"2993","Professional Engineering","DPW",53902.61,2018,0,"Prof & Tech Eng, Local 21",24604.23,10359.69,78601.19
"2994","Professional Engineering","DPW",173418.22,2018,0,"Prof & Tech Eng, Local 21",58114.8,32428.61,231533.02
"2995","Professional Engineering","DPW",4217,2018,0,"Prof & Tech Eng, Local 21",1762.56,811.77,6414.44
"2996","Professional Engineering","DPW",129398.06,2018,0,"Prof & Tech Eng, Local 21",49496.83,24502.12,180495.43
"2997","Professional Engineering","DPW",149836.22,2018,0,"Prof & Tech Eng, Local 21",53332.2,28018.88,203168.42
"2998","Semi-Skilled & General Labor","DPW",70928.1,2018,11918.35,"Laborers, Local 261",34091.52,13662.97,117247.97
"2999","Supervisory-Labor & Trade","DPW",107440.05,2018,20706.22,"Laborers, Local 261",45259.8,20937.94,174749.2
"3000","Payroll, Billing & Accounting","DPW",74005.82,2018,2028.35,"SEIU, Local 1021, Misc",34892.06,14197.3,110926.23
"3001","Agriculture & Horticulture","DPW",85611.58,2018,3316.67,"Laborers, Local 261",38175.14,17214.93,131229.94
"3002","Supervisory-Labor & Trade","DPW",118166.85,2018,252.18,"Carpenters, Local 22",47314.43,22669.54,165733.46
"3003","Professional Engineering","DPW",217476.36,2018,0,"Prof & Tech Eng, Local 21",67197.02,40667.41,284673.38
"3004","Construction Inspection","DPW",118925.9,2018,0,"Building Inspects - 6331/33",47558.21,22234.69,166484.11
"3005","Semi-Skilled & General Labor","DPW",70640,2018,0,"Laborers, Local 261",33281.13,13840.33,105424.13
"3006","Sub-Professional Engineering","DPW",17291.88,2018,0,"Prof & Tech Eng, Local 21",1342.13,0,18634.01
"3007","Supervisory-Labor & Trade","DPW",47714.44,2018,649.01,"Laborers, Local 261",19495.38,9185.04,67858.83
"3008","Budget, Admn & Stats Analysis","DPW",81804.52,2018,1475.04,"SEIU, Local 1021, Misc",36520.63,15182.77,119800.19
"3009","Professional Engineering","DPW",140666.13,2018,0,"Prof & Tech Eng, Local 21",52315.03,26979.68,196598.49
"3010","Professional Engineering","DPW",125371.95,2018,0,"Prof & Tech Eng, Local 21",48305.56,23756.63,173677.51
"3011","Journeyman Trade","DPW",90639.7,2018,5911.71,"Teamsters, Local 853",40643.38,17631.87,138460.64
"3012","Human Services","DPH",19902,2018,0,"SEIU, Local 1021, Misc",8889.51,3803.28,28791.51
"3013","Construction Inspection","DPW",112322.07,2018,4548.86,"Prof & Tech Eng, Local 21",45302.85,21548.24,162173.78
"3014","Professional Engineering","DPW",110151.14,2018,0,"Prof & Tech Eng, Local 21",43588.22,21133.84,153739.36
"3015","Agriculture & Horticulture","DPW",80602.8,2018,8429.45,"Laborers, Local 261",36899.47,15675.97,130738.1
"3016","Budget, Admn & Stats Analysis","DPW",104806.09,2018,0,"Prof & Tech Eng, Local 21",42503.06,20104.71,147309.15
"3017","Information Systems","DPW",118795.25,2018,0,"Prof & Tech Eng, Local 21",46654.22,22789.05,165449.47
"3018","Med Therapy & Auxiliary","DPH",11466,2018,0,"SEIU, Local 1021, Misc",892.66,0,12393.6
"3019","Nursing","DPH",25686,2018,1872.94,"SEIU, Local 1021, RN",2394.86,0,33250.18
"3020","Budget, Admn & Stats Analysis","DPW",130592.03,2018,0,"Prof & Tech Eng, Local 21",49360.73,24420.33,179952.76
"3021","Professional Engineering","DPW",28275.38,2018,0,"Prof & Tech Eng, Local 21",31339.05,5410.51,59614.43
"3022","Journeyman Trade","DPW",55559.96,2018,1164.88,"Teamsters, Local 853",26432.38,11793.84,89344.48
"3023","Journeyman Trade","DPW",91109.55,2018,2866.75,"Cement Masons, Local 300 (580)",41300.09,17376.2,135276.39
"3024","Nursing","DPH",224.92,2018,0,"SEIU, Local 1021, Misc",62.3,42.98,287.22
"3025","Public Service Aide","DPH",7204.4,2018,0,"SEIU, Local 1021, Misc",4142.35,1619.55,11346.75
"3026","Public Service Aide","DPW",3216.6,2018,0,"SEIU, Local 1021, Misc",1258.14,0,4474.74
"3027","Professional Engineering","DPW",96026.16,2018,0,"Prof & Tech Eng, Local 21",40485.9,18422.04,136512.06
"3028","Professional Engineering","DPW",111166.08,2018,0,"Prof & Tech Eng, Local 21",44742.63,21326.47,155908.71
"3029","Construction Inspection","DPW",110819.81,2018,14358.81,"Prof & Tech Eng, Local 21",45648.31,21385.43,171485.87
"3030","Dietary & Food","DPH",6762,2018,1108.49,"SEIU, Local 1021, Misc",3843.37,1544.67,11823.18
"3031","Nursing","DPH",14303.64,2018,5018.73,"SEIU, Local 1021, RN",6650.55,3125.26,28453.74
"3032","Housekeeping & Laundry","DPH",6837.4,2018,1481.86,"SEIU, Local 1021, Misc",4291.96,1667.02,13189.38
"3033","Clerical, Secretarial & Steno","DPW",16130.9,2018,0,"Prof & Tech Eng, Local 21",1252.02,0,17382.92
"3034","Semi-Skilled & General Labor","DPW",70622.75,2018,234.79,"Laborers, Local 261",33044.46,13548.58,103902
"3035","Journeyman Trade","DPW",79795.84,2018,4453.26,"Teamsters, Local 853",37986.05,16984.44,130962.73
"3036","Human Services","DPW",100527.21,2018,0,"SEIU, Local 1021, Misc",41459.7,19313.58,142145.07
"3037","Semi-Skilled & General Labor","DPW",11927.34,2018,407.03,"Laborers, Local 261",5724.79,2329.12,18231.14
"3038","Journeyman Trade","DPW",117048,2018,0,"Plumbers, Local 38",50652.15,22454.88,195420.94
"3039","Fire Services","FIR",138721.01,2018,37855.56,"Firefighters,Local 798, Unit 1",48911.34,28435.86,242827.88
"3040","Medical & Dental","FIR",29474.95,2018,0,"Physician/Dentists 8-CC, UAPD",2287.73,0,31762.68
"3041","Professional Engineering","DPW",132636.92,2018,0,"Prof & Tech Eng, Local 21",49882.48,24800.38,182519.4
"3042","Sub-Professional Engineering","DPW",29087.74,2018,0,"Prof & Tech Eng, Local 21",2257.68,0,31345.42
"3043","Professional Engineering","DPW",42557.48,2018,0,"Prof & Tech Eng, Local 21",19090.88,8140.77,61648.36
"3044","Public Service Aide","ENV",27461.59,2018,0,"SEIU, Local 1021, Misc",12795.33,1101.3,40256.92
"3045","Public Service Aide","ENV",9504.06,2018,0,"SEIU, Local 1021, Misc",3711.35,0,13215.41
"3046","Public Service Aide","ENV",10543.3,2018,0,"SEIU, Local 1021, Misc",3227.68,2370.15,13770.98
"3047","Energy & Environment","ENV",5044.55,2018,0,"Prof & Tech Eng, Local 21",1374.38,0,6418.93
"3048","Fire Services","FIR",128249.09,2018,55755.5,"Firefighters,Local 798, Unit 1",45153.96,25992.11,243548.84
"3049","Fire Services","FIR",139503.05,2018,35116.11,"Firefighters,Local 798, Unit 1",48760.13,28290.47,239856.06
"3050","Fire Services","FIR",140253.17,2018,37383.1,"Firefighters,Local 798, Unit 1",44904.9,27211.61,232348.72
"3051","Fire Services","FIR",118586.09,2018,92.01,"Firefighters,Local 798, Unit 1",26438.59,23386.98,156203.26
"3052","Professional Engineering","DPW",128906.77,2018,0,"Prof & Tech Eng, Local 21",48629.5,24104.83,177536.27
"3053","Sub-Professional Engineering","DPW",26263.7,2018,170.18,"Prof & Tech Eng, Local 21",2051.69,0,28485.57
"3054","Public Service Aide","DPW",20818.55,2018,0,"SEIU, Local 1021, Misc",8200.56,0,29019.11
"3055","Clerical, Secretarial & Steno","ETH",19594.2,2018,0,"SEIU, Local 1021, Misc",1524.34,0,21164.38
"3056","Clerical, Secretarial & Steno","ETH",39209.19,2018,0,"SEIU, Local 1021, Misc",12079.66,8856.29,51288.85
"3057","Management","FIR",278675.47,2018,0,"Municipal Exec Assoc, Fire",82793.01,55850.34,390024.98
"3058","Fire Services","FIR",129961.72,2018,7911.11,"Firefighters,Local 798, Unit 1",39918.85,26071.29,191339.24
"3059","Public Safety Inspection","DPW",88416.02,2018,8875.98,"Prof & Tech Eng, Local 21",39238.78,16962.1,136530.78
"3060","Public Safety Inspection","DPW",80325.32,2018,13879.53,"Prof & Tech Eng, Local 21",37228.39,15409.9,132688.07
"3061","Protection & Apprehension","FAM",500.5,2018,0,"SEIU, Local 1021, Misc",39.44,0,539.94
"3062","Administrative-Labor & Trades","FAM",136942.03,2018,19358.33,"Stationary Engineers, Local 39",52023.67,25607.72,208324.03
"3063","Semi-Skilled & General Labor","DPW",25361.29,2018,261.17,"Laborers, Local 261",8089.96,0,34444.19
"3064","Budget, Admn & Stats Analysis","DPW",68469.08,2018,0,"SEIU, Local 1021, Misc",33264.83,13130.61,101733.91
"3065","Budget, Admn & Stats Analysis","DPW",63501.6,2018,302.74,"SEIU, Local 1021, Misc",31952.51,12181.4,95756.85
"3066","Public Service Aide","DPW",4462.24,2018,0,"Laborers, Local 261",2250.59,0,6855.8
"3067","Sub-Professional Engineering","DPW",4195.6,2018,0,"Prof & Tech Eng, Local 21",2068.97,801.77,6264.57
"3068","Protection & Apprehension","FAM",68678.58,2018,14308.32,"SEIU, Local 1021, Misc",34474.93,13431.61,118874.24
"3069","Protection & Apprehension","FAM",69771.35,2018,32929.54,"SEIU, Local 1021, Misc",36104.34,13505.28,139429.13
"3070","Fire Services","FIR",118961.85,2018,37805.03,"Firefighters,Local 798, Unit 1",45493.07,25360.83,226398.21
"3071","Protection & Apprehension","FAM",59506.13,2018,17308.74,"SEIU, Local 1021, Misc",31921.53,12276.4,113247.54
"3072","Semi-Skilled & General Labor","DPW",46268.61,2018,591.5,"Electrical Workers, Local 6",27647.33,8966.18,74912.32
"3073","Protection & Apprehension","FAM",65292.37,2018,1386.69,"SEIU, Local 1021, Misc",32943.39,13476.56,104570.58
"3074","Semi-Skilled & General Labor","DPW",50236.68,2018,21995.58,"Laborers, Local 261",31449.68,11842.14,105949.55
"3075","Sub-Professional Engineering","DPW",2423.3,2018,0,"Prof & Tech Eng, Local 21",188.09,0,2611.39
"3076","Semi-Skilled & General Labor","DPW",72050.96,2018,2030.04,"Laborers, Local 261",33581.94,13751.77,110134.77
"3077","Management","ECN",114478.03,2018,0,"Municipal Exec Assoc, Misc",43266.48,21487.48,179131.45
"3078","Budget, Admn & Stats Analysis","ECN",130592.08,2018,0,"Prof & Tech Eng, Local 21",48997.57,24420.34,179589.65
"3079","Protection & Apprehension","FAM",14766.92,2018,475.09,"SEIU, Local 1021, Misc",1199.19,0,16441.2
"3080","Protection & Apprehension","FAM",23499.39,2018,0,"SEIU, Local 1021, Misc",1849.64,0,25349.03
"3081","Public Service Aide","DPW",17692.77,2018,0,"Laborers, Local 261",9906.3,800.93,28630.72
"3082","Management","ECN",167267.27,2018,0,"Municipal Exec Assoc, Misc",61214.9,31278.41,228482.17
"3083","Community Development","ECN",76654.24,2018,0,"SEIU, Local 1021, Misc",36731.87,14715.58,113386.11
"3084","Management","ECN",130903.81,2018,0,"Municipal Exec Assoc, Misc",52819.02,24478.6,183722.83
"3085","Protection & Apprehension","FAM",50264.04,2018,19678.26,"SEIU, Local 1021, Misc",26505.02,10006.02,98310.08
"3086","Protection & Apprehension","FAM",22681.62,2018,33.15,"SEIU, Local 1021, Misc",1763.03,0,24477.8
"3087","Protection & Apprehension","FAM",28874.4,2018,386.7,"SEIU, Local 1021, Misc",15009.51,5542.13,44270.61
"3088","Sub-Professional Engineering","DPW",0,2018,0,"Prof & Tech Eng, Local 21",41.54,0,584.58
"3089","Sub-Professional Engineering","DPW",0,2018,0,"Prof & Tech Eng, Local 21",44.16,0,621.35
"3090","Journeyman Trade","FAM",95600.62,2018,3649.48,"Stationary Engineers, Local 39",41827.26,18341.88,141077.36
"3091","Sub-Professional Engineering","DPW",36449,2018,0,"Prof & Tech Eng, Local 21",17518.36,7016.49,60882.98
"3092","Budget, Admn & Stats Analysis","DPW",82551.61,2018,0,"SEIU, Local 1021, Misc",38463.15,17296.18,121014.76
"3093","Semi-Skilled & General Labor","DPW",47991.05,2018,309.35,"Laborers, Local 261",27139.74,11051.31,76462.74
"3094","Budget, Admn & Stats Analysis","ECN",111804.05,2018,0,"Prof & Tech Eng, Local 21",44115.62,21448.24,155919.67
"3095","Protection & Apprehension","FAM",26794.95,2018,0,"SEIU, Local 1021, Misc",2079.72,0,28874.67
"3096","Protection & Apprehension","FAM",20030.54,2018,1386.37,"SEIU, Local 1021, Misc",10447.18,3853.59,31864.09
"3097","Semi-Skilled & General Labor","DPW",41539.4,2018,522.6,"Laborers, Local 261",26938.36,9725.06,70572.03
"3098","Budget, Admn & Stats Analysis","DPW",64158.81,2018,0,"SEIU, Local 1021, Misc",32026.75,12307.93,96185.56
"3099","Journeyman Trade","DPW",74038.62,2018,2389.85,"Teamsters, Local 853",26068.34,6165.42,104008.08
"3100","Park & Zoo","FAM",38845.23,2018,6107.67,"SEIU, Local 1021, Misc",25028.76,8783.32,70071.66
"3101","Public Service Aide","DPW",6936.96,2018,0,"Laborers, Local 261",3507.17,0,10663.23
"3102","Journeyman Trade","DPW",78464.49,2018,1920.71,"Stationary Engineers, Local 39",37009.72,15052.04,117394.92
"3103","Payroll, Billing & Accounting","DPW",50619.6,2018,0,"SEIU, Local 1021, Misc",29324.79,11418.15,79944.39
"3104","Energy & Environment","ENV",161.29,2018,0,"Prof & Tech Eng, Local 21",12.51,0,173.8
"3105","Fire Services","FIR",157865.54,2018,113122.99,"Firefighters,Local 798, Unit 1",54121.74,32287.52,344452.29
"3106","Energy & Environment","ENV",80184.03,2018,0,"Prof & Tech Eng, Local 21",36290.45,15382.9,116474.48
